Strike,16-Apr-21,30-Apr-21,21-May-21,28-May-21,18-Jun-21,30-Jun-21,17-Sep-21,30-Sep-21,17-Dec-21,31-Dec-21,21-Jan-22,18-Mar-22,17-Jun-22,16-Dec-22,15-Dec-23,20-Dec-24,19-Dec-25,18-Dec-26,17-Dec-27,15-Dec-28,21-Dec-29,15-Dec-34
2850,0.367538246,0.359358235,0.351539802,0.347964949,0.342986551,0.338819657,0.320256254,0.317721335,0.306214726,0.304664764,0.300974351,0.296676633,0.289257454,0.277375358,0.263575163,0.253465404,0.246278769,0.245013044,0.244651307,0.245161732,0.25169807,0.250714636
2875,0.36310358,0.355275736,0.347826815,0.344327448,0.33954329,0.335403219,0.317485795,0.315040101,0.303907212,0.302366543,0.298791556,0.294612117,0.287355253,0.275709317,0.262102862,0.252302197,0.245359824,0.244187316,0.243889952,0.244444227,0.251002687,0.250173496
2900,0.358716587,0.351238788,0.344113297,0.340689508,0.336093201,0.331999612,0.31473056,0.312375943,0.301614297,0.3000788,0.296602465,0.292529455,0.285438839,0.27403717,0.260626575,0.251141235,0.244444438,0.243365075,0.243132118,0.243730073,0.250311173,0.249635761
2925,0.354376548,0.347232835,0.340399538,0.337051409,0.332636716,0.32860876,0.311990363,0.309728618,0.299324332,0.297775223,0.294393308,0.290429267,0.283508718,0.272359198,0.259146512,0.249982544,0.243532588,0.242546292,0.242377771,0.243019235,0.249623482,0.249101385
2950,0.350082753,0.343236098,0.336685813,0.33341342,0.329174247,0.325230585,0.309265021,0.307097894,0.297011315,0.295448583,0.292164756,0.288312151,0.281565379,0.27067567,0.257662876,0.248826153,0.24262425,0.241730938,0.241626876,0.242311681,0.248939566,0.24857032
2975,0.345831071,0.339248385,0.332972387,0.329775798,0.325706194,0.321865009,0.306554355,0.30448162,0.294674965,0.293099628,0.289917457,0.286178685,0.279609294,0.268986848,0.256175866,0.247672085,0.241719401,0.240918986,0.240879401,0.241607378,0.248259379,0.248042521
3000,0.341599344,0.335269752,0.329259515,0.326138789,0.322232941,0.318511954,0.303849221,0.301844377,0.29231603,0.290729081,0.287652039,0.284029428,0.277640919,0.267289412,0.254685668,0.246520364,0.240818018,0.240110407,0.240135313,0.240906296,0.247582875,0.247517943
3025,0.337383646,0.331300247,0.325547438,0.322502631,0.318754855,0.315171341,0.301115322,0.299173719,0.289935234,0.288337641,0.285369106,0.281864921,0.275660696,0.265577454,0.253192466,0.245371011,0.239920075,0.239305174,0.239394579,0.240208403,0.24691001,0.246996544
3050,0.333183871,0.327339917,0.32183639,0.31886755,0.315272293,0.311843091,0.298350164,0.29647065,0.287533276,0.285925986,0.283069246,0.279685684,0.273669051,0.263851333,0.251696434,0.244224047,0.239025551,0.23850326,0.238657167,0.239513667,0.24624074,0.246478279
3075,0.32899991,0.323388803,0.318126594,0.315233761,0.311785597,0.308527126,0.295554694,0.293736141,0.285110833,0.283494768,0.280753024,0.277492224,0.271666394,0.262111508,0.250197742,0.243079489,0.238134421,0.237704636,0.237923045,0.238822059,0.245575023,0.245963108
